                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.272,                 1.2468,                 1.5474,                0.95228,                0.90586,                0.95768,                0.71889,                0.78391,                0.87111,                 1.1141,               0.007921,               0.007921,               0.007921
                     24,                 1.2757,                 1.2314,                 1.5408,                0.95065,                0.90432,                0.95903,                0.72721,                0.77012,                0.82041,                 1.0996,               0.007822,               0.007822,               0.007822
                     25,                 1.2485,                 1.2134,                 1.5209,                0.94893,                0.91753,                0.96436,                 0.7361,                0.76578,                0.81075,                 1.0939,               0.007723,               0.007723,               0.007723
                     26,                 1.2521,                 1.2158,                 1.5211,                0.96274,                0.90278,                0.96463,                0.73715,                0.76848,                0.82155,                  1.093,               0.007624,               0.007624,               0.007624
                     27,                  1.249,                 1.1874,                  1.515,                0.96646,                0.90895,                 0.9683,                0.73899,                0.75944,                0.79551,                 1.0832,               0.007525,               0.007525,               0.007525
                     28,                 1.2412,                 1.1758,                 1.5143,                0.96424,                0.91204,                0.97048,                0.75298,                0.75108,                0.77013,                 1.0789,               0.007426,               0.007426,               0.007426
                     29,                 1.2329,                 1.1776,                  1.505,                0.93628,                0.93827,                0.97035,                0.75333,                0.74152,                0.78929,                 1.0733,               0.007327,               0.007327,               0.007327
                     30,                 1.2286,                  1.136,                  1.498,                0.94594,                0.93519,                 0.9697,                0.75555,                0.73364,                0.75923,                 1.0627,               0.007228,               0.007228,               0.007228
                     31,                 1.2243,                 1.1322,                  1.497,                0.94873,                0.93364,                0.97092,                0.75369,                0.73389,                0.73603,                 1.0637,               0.007129,               0.007129,               0.007129
                     32,                 1.2156,                 1.1226,                   1.49,                0.95723,                0.93263,                0.97079,                0.75419,                0.73025,                0.73738,                 1.0605,                0.00703,                0.00703,                0.00703
                     33,                 1.2123,                 1.1171,                 1.4806,                0.95721,                0.93519,                0.97115,                0.75185,                0.72744,                0.73025,                 1.0571,               0.006931,               0.006931,               0.006931
                     34,                 1.2086,                  1.109,                 1.4885,                0.95546,                0.93981,                0.97103,                0.75048,                0.72588,                0.72766,                 1.0551,               0.006832,               0.006832,               0.006832
                     35,                  1.191,                 1.0924,                 1.4724,                 0.9551,                 0.9321,                0.97163,                0.75281,                0.72311,                0.74056,                 1.0514,               0.006733,               0.006733,               0.006733
                     36,                 1.1891,                  1.095,                 1.4735,                0.95584,                0.93981,                0.97192,                0.75443,                0.72142,                0.74835,                 1.0488,               0.006634,               0.006634,               0.006634
                     37,                 1.1869,                 1.0731,                  1.463,                0.95303,                0.93944,                0.97137,                0.75432,                0.72163,                0.75401,                 1.0486,               0.006535,               0.006535,               0.006535
                     38,                   1.17,                 1.0505,                 1.4567,                0.95278,                0.93423,                0.97123,                0.75469,                0.71889,                0.73479,                 1.0476,               0.006436,               0.006436,               0.006436
                     39,                 1.1746,                 1.0553,                 1.4628,                0.95627,                0.94136,                0.97259,                0.75724,                0.71959,                0.73228,                 1.0485,               0.006337,               0.006337,               0.006337
                     40,                 1.1585,                  1.047,                 1.4494,                0.95752,                0.93916,                0.97322,                0.75678,                0.71939,                0.72413,                 1.0471,               0.006238,               0.006238,               0.006238
                     41,                 1.1614,                 1.0366,                 1.4454,                0.95448,                0.93839,                0.97344,                0.76077,                0.71677,                0.71021,                 1.0452,               0.006139,               0.006139,               0.006139
                     42,                 1.1622,                 1.0402,                 1.4413,                0.95861,                0.93827,                0.97352,                 0.7621,                0.71448,                0.69932,                 1.0431,                0.00604,                0.00604,                0.00604
                     43,                 1.1534,                 1.0329,                 1.4429,                0.95831,                0.93827,                 0.9737,                0.76499,                0.71375,                0.69157,                 1.0437,               0.005941,               0.005941,               0.005941
                     44,                  1.157,                 1.0164,                 1.4395,                0.95898,                0.93811,                0.97444,                0.76366,                0.71286,                0.68913,                 1.0428,               0.005842,               0.005842,               0.005842
                     45,                 1.1433,                 1.0099,                 1.4294,                0.96188,                0.93519,                0.97482,                0.76544,                0.71198,                0.68297,                 1.0425,               0.005743,               0.005743,               0.005743
                     46,                 1.1429,                0.99404,                 1.4264,                0.96092,                0.93364,                0.97485,                0.76621,                0.71064,                0.68005,                 1.0413,               0.005644,               0.005644,               0.005644
                     47,                 1.1355,                 1.0017,                 1.4262,                0.96045,                0.93702,                0.97479,                0.76492,                0.70979,                0.67426,                 1.0404,               0.005545,               0.005545,               0.005545
                     48,                 1.1344,                0.98587,                 1.4208,                0.95992,                0.93673,                0.97588,                0.76706,                0.70841,                0.66892,                 1.0396,               0.005446,               0.005446,               0.005446
                     49,                 1.1323,                0.97718,                 1.4181,                0.96194,                0.93601,                0.97612,                0.76675,                0.70844,                0.66594,                 1.0396,               0.005347,               0.005347,               0.005347
                     50,                 1.1148,                0.95891,                 1.4078,                0.96066,                0.93519,                0.97586,                 0.7662,                0.70729,                0.66241,                 1.0385,               0.005248,               0.005248,               0.005248
                     51,                 1.1221,                0.95491,                 1.4049,                0.95884,                0.93467,                0.97564,                0.76958,                0.70571,                 0.6555,                 1.0371,               0.005149,               0.005149,               0.005149
                     52,                  1.101,                0.94345,                 1.3973,                0.96174,                0.93364,                0.97588,                0.76922,                0.70457,                0.65043,                 1.0358,                0.00505,                0.00505,                0.00505
                     53,                 1.1045,                0.93435,                 1.3982,                0.96446,                0.93364,                0.97598,                0.77025,                0.70334,                0.64425,                 1.0339,               0.004951,               0.004951,               0.004951
                     54,                 1.1073,                0.92999,                  1.402,                0.96571,                0.93364,                0.97603,                0.77005,                0.70187,                0.64055,                 1.0316,               0.004852,               0.004852,               0.004852
                     55,                 1.0963,                0.92905,                 1.3962,                0.96538,                0.93364,                 0.9762,                0.77119,                0.70053,                0.63637,                 1.0304,               0.004753,               0.004753,               0.004753
                     56,                 1.0913,                0.91689,                 1.3948,                0.96702,                0.93364,                0.97643,                0.77268,                0.69908,                0.63014,                 1.0286,               0.004654,               0.004654,               0.004654
                     57,                 1.0901,                0.90719,                 1.3929,                0.96649,                0.93479,                0.97627,                 0.7725,                 0.6987,                0.62465,                 1.0271,               0.004555,               0.004555,               0.004555
                     58,                 1.0884,                 0.9174,                 1.3872,                0.96895,                0.93519,                0.97643,                 0.7725,                0.69744,                0.62024,                  1.025,               0.004456,               0.004456,               0.004456
                     59,                  1.089,                0.90127,                  1.385,                0.97059,                0.93519,                0.97638,                0.77243,                0.69701,                0.61268,                 1.0239,               0.004357,               0.004357,               0.004357
                     60,                 1.0742,                 0.8816,                 1.3756,                0.97074,                0.93673,                0.97612,                0.77408,                0.69608,                0.60679,                 1.0225,               0.004258,               0.004258,               0.004258
                     61,                 1.0708,                0.88517,                  1.376,                0.97258,                0.93827,                0.97847,                0.77359,                0.69474,                0.60155,                 1.0213,               0.004159,               0.004159,               0.004159
                     62,                 1.0682,                0.88822,                 1.3803,                0.97283,                 0.9393,                0.97862,                0.77501,                0.69351,                0.59739,                 1.0206,                0.00406,                0.00406,                0.00406
                     63,                 1.0526,                0.87601,                 1.3647,                 0.9738,                0.93981,                0.97898,                0.77669,                0.69196,                0.59387,                 1.0189,               0.003961,               0.003961,               0.003961
                     64,                 1.0608,                0.87302,                 1.3668,                0.97362,                0.93981,                0.97928,                0.77733,                0.69059,                0.58892,                 1.0175,               0.003862,               0.003862,               0.003862
                     65,                 1.0674,                0.87318,                 1.3703,                0.97346,                0.93981,                0.97928,                0.77859,                0.68941,                0.58473,                 1.0164,               0.003763,               0.003763,               0.003763
                     66,                 1.0474,                0.85518,                 1.3556,                0.97227,                0.93981,                0.97939,                0.77747,                0.68852,                0.58036,                 1.0157,               0.003664,               0.003664,               0.003664
                     67,                 1.0494,                0.86656,                 1.3566,                0.97282,                0.93909,                0.97919,                0.77808,                0.68781,                0.57476,                  1.015,               0.003565,               0.003565,               0.003565
                     68,                 1.0358,                0.84703,                 1.3435,                0.97317,                0.93827,                 0.9793,                0.77827,                0.68684,                0.56949,                 1.0138,               0.003466,               0.003466,               0.003466
                     69,                 1.0379,                 0.8442,                  1.346,                0.97444,                0.94135,                0.97946,                0.77975,                0.68575,                0.56228,                 1.0128,               0.003367,               0.003367,               0.003367
                     70,                 1.0388,                0.83287,                 1.3468,                0.97516,                0.94136,                0.97963,                0.78072,                0.68494,                0.55604,                 1.0118,               0.003268,               0.003268,               0.003268
                     71,                 1.0282,                0.82707,                 1.3384,                0.97598,                0.94067,                0.97966,                0.78005,                0.68414,                0.55103,                 1.0111,               0.003169,               0.003169,               0.003169
                     72,                   1.03,                0.82283,                 1.3394,                 0.9729,                0.94177,                0.97966,                0.78185,                 0.6832,                0.54596,                 1.0101,                0.00307,                0.00307,                0.00307
                     73,                  1.015,                0.80817,                 1.3313,                0.97599,                0.94111,                0.97906,                0.78185,                0.68233,                0.54228,                 1.0093,               0.002971,               0.002971,               0.002971
                     74,                  1.021,                0.82243,                 1.3385,                0.97587,                0.94136,                0.97885,                0.78264,                0.68143,                0.53774,                 1.0083,               0.002872,               0.002872,               0.002872
                     75,                 1.0056,                0.80016,                  1.328,                0.97721,                0.94136,                0.97884,                0.78284,                 0.6807,                0.53363,                 1.0078,               0.002773,               0.002773,               0.002773
                     76,                0.99892,                0.79301,                 1.3206,                0.97599,                0.94136,                0.97922,                0.78414,                0.68039,                0.52842,                 1.0071,               0.002674,               0.002674,               0.002674
                     77,                 1.0096,                 0.8071,                 1.3289,                0.97716,                0.94136,                0.97946,                0.78442,                0.67959,                0.52415,                 1.0066,               0.002575,               0.002575,               0.002575
                     78,                0.99296,                0.78379,                 1.3155,                 0.9775,                0.94136,                0.97953,                0.78476,                0.67894,                0.51955,                  1.006,               0.002476,               0.002476,               0.002476
                     79,                0.99632,                0.78267,                 1.3183,                0.97446,                0.94202,                0.97952,                0.78713,                0.67852,                0.51474,                 1.0058,               0.002377,               0.002377,               0.002377
                     80,                0.99672,                0.78756,                 1.3155,                0.97444,                0.94146,                0.97947,                0.78591,                0.67807,                0.50985,                 1.0052,               0.002278,               0.002278,               0.002278
                     81,                0.98531,                0.77493,                 1.3067,                0.97295,                0.94375,                0.97917,                0.78615,                0.67735,                0.50443,                 1.0045,               0.002179,               0.002179,               0.002179
                     82,                0.98152,                0.75424,                 1.3062,                0.97743,                0.93564,                0.97917,                0.78556,                 0.6764,                0.50134,                 1.0041,                0.00208,                0.00208,                0.00208
                     83,                0.96719,                 0.7556,                 1.2986,                0.97904,                0.93709,                0.97929,                0.78591,                0.67575,                0.49663,                 1.0034,               0.001981,               0.001981,               0.001981
                     84,                0.97542,                0.75315,                 1.2972,                0.97904,                0.93726,                0.97928,                0.78694,                0.67474,                0.49406,                 1.0028,               0.001882,               0.001882,               0.001882
                     85,                0.96908,                0.74869,                 1.2948,                0.97962,                0.93673,                0.97899,                 0.7866,                0.67463,                0.49056,                 1.0019,               0.001783,               0.001783,               0.001783
                     86,                0.96804,                0.75588,                 1.2973,                0.98347,                0.93673,                0.97871,                0.78794,                0.67438,                0.48759,                 1.0013,               0.001684,               0.001684,               0.001684
                     87,                0.96193,                0.74306,                 1.2949,                0.98304,                0.93673,                0.97853,                0.78774,                0.67391,                0.48548,                 1.0007,               0.001585,               0.001585,               0.001585
                     88,                0.95115,                0.73242,                 1.2843,                0.98215,                0.93396,                0.97781,                0.78883,                0.67391,                0.48481,                 1.0006,               0.001486,               0.001486,               0.001486
                     89,                0.94316,                0.72722,                 1.2834,                0.98187,                0.93519,                0.97741,                0.78818,                 0.6739,                0.48342,                 1.0001,               0.001387,               0.001387,               0.001387
                     90,                  0.938,                 0.7166,                  1.274,                0.98421,                0.93519,                0.97695,                0.78858,                0.67341,                0.48087,                0.99987,               0.001288,               0.001288,               0.001288
                     91,                0.84606,                0.50324,                 1.2365,                0.98513,                0.93519,                0.97608,                0.78864,                0.67322,                0.47839,                 0.9996,               0.001189,               0.001189,               0.001189
                     92,                0.83243,                0.48783,                 1.2324,                0.98532,                0.93213,                0.97546,                0.78874,                0.67272,                0.47599,                0.99924,                0.00109,                0.00109,                0.00109
                     93,                0.81593,                0.47699,                 1.2154,                0.98551,                 0.9321,                0.97523,                0.78816,                0.67224,                 0.4726,                0.99848,               0.000991,               0.000991,               0.000991
                     94,                0.81287,                0.47089,                 1.2141,                0.98574,                 0.9321,                0.97464,                0.78848,                0.67149,                 0.4701,                0.99788,               0.000892,               0.000892,               0.000892
                     95,                0.80292,                0.46584,                 1.2033,                 0.9835,                 0.9321,                0.97434,                0.79062,                0.67096,                0.46798,                0.99747,               0.000793,               0.000793,               0.000793
                     96,                0.79445,                0.45377,                 1.1981,                0.98247,                 0.9321,                0.97431,                0.78981,                0.67075,                0.46662,                0.99708,               0.000694,               0.000694,               0.000694
                     97,                0.79312,                0.45527,                 1.2017,                0.98054,                 0.9329,                 0.9735,                0.79154,                0.66989,                0.46505,                 0.9967,               0.000595,               0.000595,               0.000595
                     98,                0.78109,                0.45128,                  1.189,                0.97998,                0.93364,                0.97281,                 0.7916,                 0.6697,                0.46424,                0.99584,               0.000496,               0.000496,               0.000496
                     99,                 0.7689,                0.44372,                 1.1773,                0.97739,                0.93385,                0.97202,                0.79199,                0.66953,                0.46271,                0.99567,               0.000397,               0.000397,               0.000397
                    100,                0.77042,                0.44274,                 1.1826,                0.97739,                0.93393,                0.97183,                0.79342,                 0.6692,                0.46106,                0.99489,               0.000298,               0.000298,               0.000298
