                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1004,                  4.375,                 3.6331,                0.43436,                0.30401,                0.29885,                0.12666,                 1.7303,                 3.0996,                 2.2393,              0.0033328,              0.0033328,              0.0033328
                      2,                 2.2505,                 2.7626,                 2.5529,                0.47665,                0.46451,                0.49429,                0.24479,                 1.4753,                 3.4709,                  1.841,              0.0066001,              0.0066001,              0.0066001
                      3,                 1.9179,                 2.4153,                 2.1879,                0.77124,                0.49427,                0.63306,                0.34524,                 1.3216,                 2.2627,                 1.6371,              0.0098014,              0.0098014,              0.0098014
                      4,                 1.7919,                  2.251,                 2.0324,                0.79545,                0.65586,                 0.7641,                0.43912,                 1.2062,                 2.2362,                 1.5064,               0.009703,               0.009703,               0.009703
                      5,                 1.6704,                 2.0419,                 1.9154,                0.82891,                0.73302,                0.82403,                0.49248,                 1.1749,                 1.8015,                 1.4722,               0.009703,               0.009703,               0.009703
                      6,                 1.5905,                 1.8793,                 1.8307,                0.86147,                0.75811,                0.85057,                0.53051,                 1.1016,                  1.536,                 1.4005,               0.009604,               0.009604,               0.009604
                      7,                 1.5544,                 1.8014,                 1.7994,                 0.8603,                0.73177,                0.85391,                0.54907,                 1.0637,                 1.7438,                 1.3872,               0.009505,               0.009505,               0.009505
                      8,                 1.5075,                 1.7228,                 1.7554,                0.85745,                0.77623,                0.87436,                0.55593,                 1.0445,                 1.4307,                 1.3611,               0.009406,               0.009406,               0.009406
                      9,                 1.4763,                 1.6533,                 1.7222,                0.87966,                0.83476,                0.89336,                0.59291,                0.98488,                 1.4614,                 1.2824,               0.009307,               0.009307,               0.009307
                     10,                 1.4567,                 1.6208,                 1.7071,                0.90724,                0.81173,                0.90924,                0.59755,                0.97048,                 1.4258,                 1.2772,               0.009208,               0.009208,               0.009208
                     11,                 1.4358,                 1.5668,                 1.6949,                0.89312,                 0.8253,                0.90413,                0.63216,                0.92814,                  1.265,                 1.2452,               0.009109,               0.009109,               0.009109
                     12,                 1.4078,                 1.5126,                 1.6596,                0.89207,                0.84722,                0.92528,                0.64299,                0.92269,                 1.1308,                 1.2257,                0.00901,                0.00901,                0.00901
                     13,                 1.3972,                 1.4901,                 1.6536,                0.94375,                0.82856,                0.92725,                0.64768,                0.86323,                 1.2243,                 1.1835,               0.008911,               0.008911,               0.008911
                     14,                 1.3777,                 1.4605,                 1.6354,                0.92824,                0.85843,                0.92744,                0.66158,                0.87249,                 1.0789,                 1.1812,               0.008812,               0.008812,               0.008812
                     15,                 1.3656,                 1.4266,                 1.6271,                0.94057,                0.85485,                0.92791,                0.66733,                0.88875,                 1.1303,                 1.1925,               0.008713,               0.008713,               0.008713
                     16,                 1.3549,                 1.4003,                 1.6141,                0.92177,                0.87963,                0.94446,                0.68585,                0.86986,                 1.0646,                 1.1892,               0.008614,               0.008614,               0.008614
                     17,                 1.3379,                 1.3803,                 1.5976,                0.93951,                0.86728,                0.94216,                0.69902,                0.81749,                 1.1144,                 1.1432,               0.008515,               0.008515,               0.008515
                     18,                 1.3284,                 1.3482,                  1.599,                0.93984,                0.87654,                0.94317,                0.69361,                0.83397,                0.99925,                 1.1575,               0.008416,               0.008416,               0.008416
                     19,                 1.3146,                  1.326,                 1.5763,                0.95748,                0.89506,                0.95743,                0.71551,                0.80185,                0.96114,                 1.1276,               0.008317,               0.008317,               0.008317
                     20,                 1.2979,                 1.2965,                 1.5625,                0.92608,                0.90868,                0.95585,                0.71165,                0.78691,                0.96707,                 1.1167,               0.008218,               0.008218,               0.008218
                     21,                 1.2989,                 1.2943,                 1.5624,                 0.9476,                 0.8858,                0.95323,                0.71979,                0.79317,                0.87138,                 1.1204,               0.008119,               0.008119,               0.008119
                     22,                 1.2814,                 1.2725,                 1.5538,                0.94024,                0.89834,                0.95663,                0.72395,                0.77457,                0.88187,                 1.1104,                0.00802,                0.00802,                0.00802
