                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2109,                 1.0578,                 1.3639,                0.94579,                0.94238,                 0.9691,                0.73107,                0.75344,                0.67378,                0.94616,               0.003268,               0.003268,               0.003268
                     37,                 1.2078,                  1.043,                 1.3615,                 0.9458,                0.94247,                0.96816,                0.73148,                0.74904,                0.66601,                0.94406,                0.00307,                0.00307,                0.00307
                     38,                 1.1833,                 1.0181,                 1.3468,                0.94416,                 0.9429,                0.96898,                0.73536,                0.74474,                0.66232,                0.94041,               0.002872,               0.002872,               0.002872
                     39,                 1.1835,                 1.0235,                 1.3483,                0.94482,                 0.9429,                0.97062,                0.73513,                 0.7429,                0.65486,                0.93872,               0.002674,               0.002674,               0.002674
                     40,                 1.1733,                 1.0034,                 1.3382,                0.95014,                0.94444,                0.97107,                0.73676,                0.74052,                 0.6496,                0.93724,               0.002476,               0.002476,               0.002476
                     41,                 1.0845,                0.74481,                 1.2546,                0.95152,                0.94444,                0.96947,                0.73853,                 0.7374,                0.64052,                0.93444,               0.002278,               0.002278,               0.002278
                     42,                 1.0565,                0.70792,                 1.2395,                0.94754,                0.94774,                 0.9694,                0.73946,                0.73667,                0.63147,                 0.9335,                0.00208,                0.00208,                0.00208
                     43,                  1.041,                 0.6919,                 1.2277,                 0.9473,                 0.9431,                 0.9696,                0.73991,                0.73511,                0.62651,                 0.9324,               0.001882,               0.001882,               0.001882
                     44,                 1.0158,                0.67328,                 1.2137,                0.95024,                0.94308,                0.96966,                0.74207,                0.73343,                0.62052,                0.93136,               0.001684,               0.001684,               0.001684
                     45,                 1.0054,                0.65666,                 1.2066,                 0.9496,                0.94136,                0.96933,                0.74198,                0.73244,                0.61442,                0.93026,               0.001486,               0.001486,               0.001486
                     46,                0.99092,                0.64201,                  1.196,                0.95295,                0.94136,                0.96942,                0.74448,                0.73125,                0.60783,                0.92938,               0.001288,               0.001288,               0.001288
                     47,                0.98394,                0.63159,                 1.1945,                0.95161,                0.94083,                0.96895,                0.74541,                0.73104,                0.60314,                0.92897,                0.00109,                0.00109,                0.00109
                     48,                0.97614,                0.61949,                 1.1925,                0.95459,                 0.9408,                0.96905,                0.74565,                0.72981,                 0.5987,                0.92856,               0.000892,               0.000892,               0.000892
                     49,                0.96246,                0.61526,                 1.1809,                0.95447,                0.93824,                0.96854,                0.74627,                0.72953,                0.59377,                0.92832,               0.000694,               0.000694,               0.000694
                     50,                0.95171,                0.60055,                 1.1697,                0.95416,                0.93673,                0.96862,                0.74814,                0.72925,                 0.5899,                0.92788,               0.000496,               0.000496,               0.000496
